Date,Open,High,Low,Close,Volume
2011-12-29,10013.15,10056.29,9977.47,10056.29,86294880
2011-12-30,10056.19,10105.5,10044.8,10102.9,56671284
2012-01-03,10102.71,10361.95,10102.71,10361.95,243113824
2012-01-04,10361.98,10380.35,10234.71,10273.77,214400176
2012-01-05,10273.78,10284.71,10130.82,10144.64,236632224
2012-01-06,10144.59,10280.7,10144.44,10245.86,194942704
2012-01-09,10245.86,10296.56,10232.28,10251.13,180563200
2012-01-10,10251.07,10386.17,10250.99,10347.72,247644128
2012-01-11,10347.75,10427.43,10337.31,10372.56,217471968
2012-01-12,10372.63,10487.36,10361.33,10466.45,270130400
2012-01-13,10466.34,10519.35,10387.03,10457.71,269749856
2012-01-16,10457.65,10485.73,10403.41,10478.63,151452816
2012-01-17,10478.6,10653.25,10478.6,10592.21,273852000
2012-01-18,10592.22,10678.34,10529.46,10661.08,256937280
2012-01-19,10661.05,10835.15,10661.05,10808.3,328683744
2012-01-20,10808.28,10845.65,10797.17,10825.93,256732624
2012-01-23,10825.9,10892.57,10821.52,10867.56,267043552
2012-01-24,10867.62,10867.62,10692.86,10736.93,250310400
2012-01-25,10736.93,10827.91,10694.32,10748.39,200830128
2012-01-26,10748.29,10957.83,10748.29,10908.82,244304928
2012-01-27,10908.83,10936.68,10824.35,10854.72,207750544
2012-01-30,10854.75,10854.75,10678.13,10694.17,214845824
2012-01-31,10694.09,10824.69,10694.09,10769.35,290844960
2012-02-01,10769.42,11024.61,10769.42,11021.02,299446816
2012-02-02,11021.04,11100.61,10999.78,11086.51,336296704
2012-02-03,11086.51,11238.41,11063.38,11235.15,339794208
2012-02-06,11235.15,11239.73,11147.38,11237.74,217074480
2012-02-07,11237.77,11265.53,11120.24,11193.7,260639088
2012-02-08,11193.67,11219.47,11150.21,11161.88,286125088
2012-02-09,11161.86,11247.85,11161.86,11234.57,294824800
2012-02-10,11234.66,11234.78,11121.14,11167.61,246698768
2012-02-13,11167.58,11296.17,11167.58,11275.6,284061152
2012-02-14,11275.69,11326.9,11225.43,11245.69,239190496
2012-02-15,11245.63,11351.53,11244.84,11288.92,267586832
2012-02-16,11288.91,11288.91,11139.26,11203.43,245401648
2012-02-17,11203.37,11325.85,11203.37,11312.21,270991680
2012-02-20,11312.15,11443.37,11311.49,11420.21,263995424
2012-02-21,11420.21,11430.27,11346.67,11379.54,255875424
2012-02-22,11379.53,11464.77,11378.96,11449.23,310084320
2012-02-23,11449.24,11541.14,11449.12,11505.74,314741728
2012-02-24,11505.73,11555.08,11505.73,11526.98,496615104
2012-02-27,11526.96,11527.7,11395.54,11472.07,212507712
2012-02-28,11472.04,11559.25,11471.87,11529.15,274714048
2012-02-29,11529.09,11535.74,11429.14,11449.52,290608416
2012-03-01,11449.54,11555.81,11443.19,11535.36,302644960
2012-03-02,11535.4,11548.34,11504.45,11538.43,351670880
2012-03-05,11538.51,11538.51,11396.3,11414.1,261409888
2012-03-06,11414.12,11414.12,11106.49,11144.1,375804448
2012-03-07,11144.11,11299.35,11134.92,11287.14,280437504
2012-03-08,11287.1,11476.55,11287.1,11458.36,297311776
2012-03-09,11458.38,11551.51,11458.07,11527.96,293656576
2012-03-12,11527.95,11566.49,11494.3,11563.9,216188032
2012-03-13,11563.87,11750.07,11563.87,11750.07,297263232
2012-03-14,11750.12,11858.54,11749.31,11750.29,340980768
2012-03-15,11750.33,11779.81,11666.08,11699.28,333479104
2012-03-16,11699.24,11799.52,11697.39,11792.92,621217088
2012-03-19,11792.88,11807.87,11746.79,11785.49,308619328
2012-03-20,11785.54,11785.54,11603,11633.24,377890656
2012-03-21,11633.22,11717.03,11621.47,11656.75,329720512
2012-03-22,11656.7,11656.7,11518.77,11551.7,308619456
2012-03-23,11551.64,11618.17,11469.56,11566.67,317034560
2012-03-26,11566.66,11738.58,11566.56,11734.73,287064000
2012-03-27,11734.7,11800.09,11694.82,11710.7,331178976
2012-03-28,11710.75,11719.11,11579.84,11589.71,408550528
2012-03-29,11589.6,11592.32,11405.63,11430.98,322354464
2012-03-30,11430.83,11550.19,11430.83,11538.88,313821920
2012-04-02,11538.83,11655.06,11496.87,11655.06,316641408
2012-04-03,11655.04,11692.46,11634.29,11638.77,286811328
2012-04-04,11638.85,11638.88,11325.19,11352.45,359482304
2012-04-05,11352.42,11433.44,11278.93,11380.56,287231936
2012-04-10,11380.47,11380.47,11136.16,11136.16,295172000
2012-04-11,11136.01,11246.2,11098.46,11234,301600192
2012-04-12,11233.96,11435.84,11224.52,11414.53,316970112
2012-04-13,11414.52,11436.51,11295.39,11311.05,265729840
2012-04-16,11311.07,11330.98,11230.12,11255.4,273989600
2012-04-17,11255.39,11446.7,11227.57,11426.29,282697152
2012-04-18,11426.3,11459.09,11361.11,11431.99,272847968
2012-04-19,11431.95,11494.22,11382.8,11423,422574112
2012-04-20,11423,11452.9,11379.47,11444.85,306172640
2012-04-23,11444.86,11444.86,11129.9,11181.62,563130752
2012-04-24,11181.56,11276.96,11181.56,11272.23,296243712
2012-04-25,11272.24,11386.6,11272.24,11334.45,340468320
2012-04-26,11334.37,11400.28,11280.44,11361.38,272298016
2012-04-27,11361.37,11487.77,11289.78,11479.74,278765344
2012-04-30,11479.65,11506.5,11405.23,11417.59,258217024
2012-05-01,11417.62,11509.58,11394.42,11503.86,159937232
2012-05-02,11503.84,11532.79,11425.37,11475.89,376988224
2012-05-03,11475.91,11509.65,11452.84,11483.31,265082048
2012-05-04,11483.32,11483.32,11136.34,11156.22,358589664
2012-05-08,11156.17,11188.3,10869.39,10872.5,377699744
2012-05-09,10872.49,10924.28,10694.04,10788.16,365906272
2012-05-10,10788.12,10955.38,10788.12,10943.4,323225248
2012-05-11,10943.47,11019.48,10894.57,11016.41,247341088
2012-05-14,11016.4,11016.4,10755.23,10813.6,249150352
2012-05-15,10813.62,10905.97,10704.95,10722.49,293737472
2012-05-16,10722.55,10736.25,10493.08,10675.3,345979456
2012-05-17,10675.33,10759.15,10587.73,10592.94,278176128
2012-05-18,10593.01,10593.76,10428.63,10431.9,281312256
2012-05-21,10431.93,10494.96,10402.42,10435.51,250772112
2012-05-22,10435.48,10600.03,10435.48,10579.52,313473888
2012-05-23,10579.53,10579.53,10373.49,10375.72,265934096
2012-05-24,10375.74,10491.09,10369.12,10472.48,283338496
2012-05-25,10472.54,10552.01,10369.49,10417.52,286033312
2012-05-28,10417.47,10554.5,10417.47,10515.28,175827952
2012-05-29,10515.26,10674.09,10515.26,10657.87,253498512
2012-05-30,10657.94,10657.94,10486.25,10494.82,283867488
2012-05-31,10494.91,10641.71,10494.91,10558.22,481879360
2012-06-01,10558.24,10577.46,10299.34,10346.71,303963488
2012-06-06,10346.6,10583.76,10346.6,10583.76,334058816
2012-06-07,10583.8,10769.34,10580.89,10745.12,318278528
2012-06-08,10745.28,10745.28,10591.89,10698.95,320476576
2012-06-11,10698.78,10885.7,10648.47,10658.24,258428432
2012-06-12,10658.29,10671.54,10504.09,10561.16,261470544
2012-06-13,10561.22,10640.99,10469.12,10538.59,262424208
2012-06-14,10538.75,10586.09,10474.95,10574.63,281079616
2012-06-15,10574.63,10729.65,10574.63,10729.65,631701632
2012-06-18,10729.61,10831.11,10663.68,10721.44,453386336
